id,ref,title,url,open_date,type,category,department,business_unit,industry,function,city,country,x,y,description
17566660,JREQ165163,"Learning Editor, Visuals - Reuters",Full_time,2023-01-05T11:04:04.02Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,London,GB,-0.127758,51.5074,
17566659,JREQ165006,"Arabic Financial Correspondent, Reuters",Full_time,2023-01-05T11:04:04.003Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Cairo,EG,31.2357,30.0444,
17565186,JREQ164953,Project Manager - Africa Region,Full_time,2023-01-05T07:03:31.783Z,Full_time,Project Management,Enabling Functions-ALL,Enabling Functions Segment-ALL,Television Broadcasting,Project Manager,Johannesburg,ZA,28.0473,-26.2041,
17563443,JREQ165211,Editorial Intern,Full_time,2023-01-04T22:03:33.92Z,Full_time,Graduates/Interns,Reuters - ALL,Reuters Editorial,Television Broadcasting,Intern,Singapore,SG,103.85,1.28967,
17562100,JREQ165140,Senior Training Consultant,Full_time,2023-01-04T19:05:39.007Z,Full_time,Product / Process Training,Legal Professionals-ALL,Legal Customer Success-ALL,Television Broadcasting,Training General,Eagan,US,-93.1669,44.8041,
17561428,JREQ164543,Técnico de Sucesso do Cliente,Full_time,2023-01-04T18:04:04.713Z,Full_time,Sales,Legal Professionals-ALL,LatAm - Legal,Television Broadcasting,Sales General,São Paulo,BR,-46.6333,-23.5505,
17560712,JREQ164172,"Senior Analyst, Transfer Pricing and Valuations in Tax",Full_time,2023-01-04T16:03:42.937Z,Full_time,Accounting & Finance,Enabling Functions-ALL,Enabling Functions Finance-ALL,Television Broadcasting,Accounting General,Toronto,CA,-79.3832,43.6532,
17535586,JREQ165098,Executive Assistant,Full_time,2023-01-04T16:03:41.817Z,Full_time,Administration,LatAm-ALL,LatAm Segment,Television Broadcasting,Administration,Buenos Aires,AR,-58.3816,-34.6037,
17559825,JREQ165135,"Client Manager, Inside SLF - FindLaw",Full_time,2023-01-04T14:03:55.743Z,Full_time,Sales,Legal Professionals-ALL,Legal Small Law-ALL,Television Broadcasting,Sales General,Eagan,US,-93.1669,44.8041,
15010687,JREQ152615,Senior Product Manager,Full_time,2023-01-04T14:03:54.627Z,Full_time,Product Management,Product-ALL,Product - Corporate Tax & Trade,Television Broadcasting,Product Manager,Carrollton,US,-96.8921,32.9614,
17559408,JREQ165190,"Tax Print Specialist (MN, MI, or TX)",Full_time,2023-01-04T13:04:02.607Z,Full_time,Sales,Global Print-ALL,Global Print US Print Sales,Television Broadcasting,Sales General,Eagan,US,-93.1669,44.8041,
17559407,JREQ165054,Sales Executive Legal Tracker/HighQ Corporates SMB (Remote),Full_time,2023-01-04T13:04:02.59Z,Full_time,Sales,Corporates-ALL,"Corporates Small, Mid-Market",Television Broadcasting,Sales General,Carrollton,US,-96.8921,32.9614,
17558978,JREQ164608,"Project Manager, End User Compute",Full_time,2023-01-04T12:04:16.467Z,Full_time,Technology Operations,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computer Operations Manager,Hyderabad,IN,78.4867,17.385,
16788977,JREQ163407,#2 Operator in Bindery (3rd shift),Full_time,2023-01-04T11:04:21.88Z,Full_time,Production & Materials Management,Global Print-ALL,Global Print Prop Strategy & Ops,Television Broadcasting,Production General,Eagan,US,-93.1669,44.8041,
17557966,JREQ165061,Legal Counsel (MSP or DAL),Full_time,2023-01-04T10:03:30.063Z,Full_time,Legal & Regulatory Professionals,Enabling Functions-ALL,Enabling Functions General Counsel,Television Broadcasting,Legal General,Eagan,US,-93.1669,44.8041,
16252658,JREQ161119,Director of Global Reader Revenue - Reuters Professional,Full_time,2023-01-04T07:03:37.163Z,Full_time,Marketing,Reuters - ALL,Reuters Marketing-ALL,Television Broadcasting,Marketing General,London,GB,-0.127758,51.5074,
17557050,JREQ165011,Associate Quality Assurance and E-File Analyst,Full_time,2023-01-04T06:03:21.123Z,Full_time,Publishing / Editorial,Product-ALL,Product - Content,Television Broadcasting,Publishing General,Hyderabad,IN,78.4867,17.385,
17311211,JREQ164318,"Senior Product Manager, Sports & Special Events",Full_time,2023-01-04T06:03:20.1Z,Full_time,Product Management,Reuters - ALL,Reuters Media,Television Broadcasting,Product Manager,London,GB,-0.127758,51.5074,
17556967,JREQ165080,Sr. Systems Engineer,Full_time,2023-01-04T05:03:53.79Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716,
