id,title,url,open_date,type,city,country,x,y
JREQ165639,Multimedia News Producer - Global Online Desk,https://careers.thomsonreuters.com/us/en/job/JREQ165639,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ172643,Desk Editor,https://careers.thomsonreuters.com/us/en/job/JREQ172643,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174174,Desk Editor,https://careers.thomsonreuters.com/us/en/job/JREQ174174,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ160470,India Company News Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ160470,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174132,Sector Specialist- Asia Headline News,https://careers.thomsonreuters.com/us/en/job/JREQ174132,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174190,Sector Specialist - Manufacturing,https://careers.thomsonreuters.com/us/en/job/JREQ174190,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174195,"Correspondent, Markets",https://careers.thomsonreuters.com/us/en/job/JREQ174195,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174127,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174127,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174126,Associate Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174126,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174173,News Publishing Specialist,https://careers.thomsonreuters.com/us/en/job/JREQ174173,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174125,Associate Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174125,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174122,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174122,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174121,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174121,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174179,Sports Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ174179,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174175,Desk Editor,https://careers.thomsonreuters.com/us/en/job/JREQ174175,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174133,"Sector Specialist, Asia Headline News",https://careers.thomsonreuters.com/us/en/job/JREQ174133,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174120,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174120,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174123,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ174123,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174196,"Senior Correspondent, Markets",https://careers.thomsonreuters.com/us/en/job/JREQ174196,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ166777,Multimedia News Producer,https://careers.thomsonreuters.com/us/en/job/JREQ166777,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174178,"Senior Correspondent, GNM",https://careers.thomsonreuters.com/us/en/job/JREQ174178,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ174118,Senior Learning Specialist,https://careers.thomsonreuters.com/us/en/job/JREQ174118,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ175965,Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ175965,2024-01-30T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
