id,title,url,open_date,type,city,country,x,y
JREQ182723,"Senior Lawyer Writer, Dispute Resolution, Practical Law",https://careers.thomsonreuters.com/us/en/job/JREQ182723,2024-11-07T00:00:00.000+0000,Full time,,,,
JREQ182909,"Senior Lawyer Writer, Commercial Real Estate, Practical Law",https://careers.thomsonreuters.com/us/en/job/JREQ182909,2024-11-07T00:00:00.000+0000,Full time,Melbourne,Australia,144.9633347,-37.8169726
JREQ183025,"Senior Lawyer Writer, Technology and Intellectual Property",https://careers.thomsonreuters.com/us/en/job/JREQ183025,2024-11-07T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ183023,"Senior Lawyer Writer - Data, Privacy and Cybersecurity",https://careers.thomsonreuters.com/us/en/job/JREQ183023,2024-11-07T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ184735,"Associate Picture Editor, Global Pictures Desk",https://careers.thomsonreuters.com/us/en/job/JREQ184735,2024-11-07T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ184578,"Bureau Chief, Pakistan & Afghanistan",https://careers.thomsonreuters.com/us/en/job/JREQ184578,2024-11-07T00:00:00.000+0000,Full time,Islamabad,Pakistan,73.0578206,33.7117852
JREQ183216,Casual Legal Editor - University Law Students,https://careers.thomsonreuters.com/us/en/job/JREQ183216,2024-11-06T00:00:00.000+0000,Part time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ184362,"Europe Editor, Reuters Pictures",https://careers.thomsonreuters.com/us/en/job/JREQ184362,2024-11-06T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ183415,"Automation Testing - Python, Web Scrapping (0-1 years exp)",https://careers.thomsonreuters.com/us/en/job/JREQ183415,2024-11-06T00:00:00.000+0000,Full time,Hyderabad,India,78.3847282,17.438325
JREQ184808,Reuters News Internship Program 2024 (Temp Guild) – New York – Graphics Internship,https://careers.thomsonreuters.com/us/en/job/JREQ184808,2024-11-06T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ184706,Senior Tax Analyst,https://careers.thomsonreuters.com/us/en/job/JREQ184706,2024-11-06T00:00:00.000+0000,Full time,Frisco,United States of America,-96.833545,33.1073049
JREQ180932,Reuters Photojournalism Fellowship (Temp Guild),https://careers.thomsonreuters.com/us/en/job/JREQ180932,2024-11-06T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ184355,Energy Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ184355,2024-11-05T00:00:00.000+0000,Full time,London,United Kingdom,-0.0185088,51.5056439
JREQ180722,China Energy Correspondent,https://careers.thomsonreuters.com/us/en/job/JREQ180722,2024-11-04T00:00:00.000+0000,Full time,Beijing,China,116.40108,39.9515199
JREQ184442,"Associate Editor, Global Pictures Desk",https://careers.thomsonreuters.com/us/en/job/JREQ184442,2024-11-04T00:00:00.000+0000,Full time,Bengaluru,India,77.7120655,12.9743998
JREQ184382,Legal Editorial Associate - Indexing - LLB/LLM,https://careers.thomsonreuters.com/us/en/job/JREQ184382,2024-11-04T00:00:00.000+0000,Full time,Hyderabad,India,78.3847282,17.438325
JREQ183070,"Sr. Specialist Legal Editor, Practical Law Asia, Employment",https://careers.thomsonreuters.com/us/en/job/JREQ183070,2024-11-01T00:00:00.000+0000,Full time,Singapore,Singapore,103.792796,1.2938815
JREQ182769,Associate QA & E-File Analyst (1040 and 1041 Tax Forms),https://careers.thomsonreuters.com/us/en/job/JREQ182769,2024-11-01T00:00:00.000+0000,Full time,Hyderabad,India,78.3847282,17.438325
JREQ183071,"Sr. Specialist Legal Editor, Practical Law Asia, Commercial",https://careers.thomsonreuters.com/us/en/job/JREQ183071,2024-11-01T00:00:00.000+0000,Full time,Singapore,Singapore,103.792796,1.2938815
JREQ184455,"Commissioning Editor, Practical Law",https://careers.thomsonreuters.com/us/en/job/JREQ184455,2024-11-01T00:00:00.000+0000,Full time,Pyrmont,Australia,151.1915144,-33.8664432
JREQ184498,Senior Tax Associate,https://careers.thomsonreuters.com/us/en/job/JREQ184498,2024-10-31T00:00:00.000+0000,Full time,Gdansk,Poland,18.5752702,54.4004235
JREQ183417,"Visual Producer, France & Benelux",https://careers.thomsonreuters.com/us/en/job/JREQ183417,2024-10-31T00:00:00.000+0000,Full time,Paris,France,2.3362407,48.869761
JREQ183425,Chicago Bureau Chief,https://careers.thomsonreuters.com/us/en/job/JREQ183425,2024-10-31T00:00:00.000+0000,Full time,Chicago,United States of America,-87.63723,41.87891930000001
JREQ180376,"China Politics and Policy Correspondent, Reuters",https://careers.thomsonreuters.com/us/en/job/JREQ180376,2024-10-30T00:00:00.000+0000,Full time,Beijing,China,116.40108,39.9515199
JREQ183378,Editorial Associate - (1-2 years exp),https://careers.thomsonreuters.com/us/en/job/JREQ183378,2024-10-30T00:00:00.000+0000,Full time,Hyderabad,India,78.3847282,17.438325
JREQ183574,Fact-Checking Editor (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ183574,2024-10-30T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
JREQ184383,US Aerospace & Defense Correspondent (Level 1 Journalist),https://careers.thomsonreuters.com/us/en/job/JREQ184383,2024-10-30T00:00:00.000+0000,Full time,Washington,United States of America,-77.0311952,38.9004793
JREQ181763,Federal Tax Editor – Product/Tax Editorial,https://careers.thomsonreuters.com/us/en/job/JREQ181763,2024-10-29T00:00:00.000+0000,Full time,Eagan,United States of America,-93.10808019999999,44.8527611
JREQ183519,"Wall Street Columnist, Reuters Breakingviews",https://careers.thomsonreuters.com/us/en/job/JREQ183519,2024-10-29T00:00:00.000+0000,Full time,New York,United States of America,-73.9866995,40.7566955
